1k1 TN1: Success: 0.499, Failure: 0.501, Opportunity: 0.07, Extra Success: 0.10, Strife: 0.60
1k1 TN2: Success: 0.084, Failure: 0.916, Opportunity: 0.01, Extra Success: 0.02, Strife: 0.60
1k1 TN3: Success: 0.014, Failure: 0.986, Opportunity: 0.00, Extra Success: 0.00, Strife: 0.60
1k1 TN4: Success: 0.002, Failure: 0.998, Opportunity: 0.00, Extra Success: 0.00, Strife: 0.60
2k1 TN1: Success: 0.793, Failure: 0.207, Opportunity: 0.19, Extra Success: 0.20, Strife: 0.57
2k1 TN2: Success: 0.167, Failure: 0.833, Opportunity: 0.03, Extra Success: 0.03, Strife: 0.56
2k1 TN3: Success: 0.028, Failure: 0.972, Opportunity: 0.01, Extra Success: 0.01, Strife: 0.57
2k1 TN4: Success: 0.004, Failure: 0.996, Opportunity: 0.00, Extra Success: 0.00, Strife: 0.57
3k1 TN1: Success: 0.914, Failure: 0.086, Opportunity: 0.28, Extra Success: 0.28, Strife: 0.57
3k1 TN2: Success: 0.237, Failure: 0.763, Opportunity: 0.05, Extra Success: 0.05, Strife: 0.57
3k1 TN3: Success: 0.039, Failure: 0.961, Opportunity: 0.01, Extra Success: 0.01, Strife: 0.57
3k1 TN4: Success: 0.007, Failure: 0.993, Opportunity: 0.00, Extra Success: 0.00, Strife: 0.57
4k1 TN1: Success: 0.964, Failure: 0.036, Opportunity: 0.34, Extra Success: 0.35, Strife: 0.57
4k1 TN2: Success: 0.295, Failure: 0.705, Opportunity: 0.07, Extra Success: 0.06, Strife: 0.57
4k1 TN3: Success: 0.049, Failure: 0.951, Opportunity: 0.01, Extra Success: 0.01, Strife: 0.57
4k1 TN4: Success: 0.008, Failure: 0.992, Opportunity: 0.00, Extra Success: 0.00, Strife: 0.57
5k1 TN1: Success: 0.985, Failure: 0.015, Opportunity: 0.38, Extra Success: 0.41, Strife: 0.57
5k1 TN2: Success: 0.341, Failure: 0.659, Opportunity: 0.08, Extra Success: 0.07, Strife: 0.57
5k1 TN3: Success: 0.057, Failure: 0.943, Opportunity: 0.01, Extra Success: 0.01, Strife: 0.57
5k1 TN4: Success: 0.010, Failure: 0.990, Opportunity: 0.00, Extra Success: 0.00, Strife: 0.57
6k1 TN1: Success: 0.994, Failure: 0.006, Opportunity: 0.40, Extra Success: 0.46, Strife: 0.57
6k1 TN2: Success: 0.382, Failure: 0.618, Opportunity: 0.09, Extra Success: 0.08, Strife: 0.57
6k1 TN3: Success: 0.063, Failure: 0.937, Opportunity: 0.02, Extra Success: 0.01, Strife: 0.57
6k1 TN4: Success: 0.010, Failure: 0.990, Opportunity: 0.00, Extra Success: 0.00, Strife: 0.57
2k2 TN1: Success: 0.754, Failure: 0.246, Opportunity: 0.47, Extra Success: 0.45, Strife: 1.20
2k2 TN2: Success: 0.333, Failure: 0.667, Opportunity: 0.13, Extra Success: 0.12, Strife: 1.20
2k2 TN3: Success: 0.091, Failure: 0.909, Opportunity: 0.03, Extra Success: 0.03, Strife: 1.20
2k2 TN4: Success: 0.021, Failure: 0.979, Opportunity: 0.01, Extra Success: 0.01, Strife: 1.20
3k2 TN1: Success: 0.897, Failure: 0.103, Opportunity: 0.83, Extra Success: 0.59, Strife: 1.10
3k2 TN2: Success: 0.602, Failure: 0.398, Opportunity: 0.28, Extra Success: 0.26, Strife: 1.18
3k2 TN3: Success: 0.190, Failure: 0.810, Opportunity: 0.08, Extra Success: 0.07, Strife: 1.19
3k2 TN4: Success: 0.047, Failure: 0.953, Opportunity: 0.02, Extra Success: 0.01, Strife: 1.18
4k2 TN1: Success: 0.957, Failure: 0.043, Opportunity: 1.06, Extra Success: 0.65, Strife: 0.96
4k2 TN2: Success: 0.782, Failure: 0.218, Opportunity: 0.41, Extra Success: 0.39, Strife: 1.17
4k2 TN3: Success: 0.284, Failure: 0.716, Opportunity: 0.14, Extra Success: 0.10, Strife: 1.17
4k2 TN4: Success: 0.079, Failure: 0.921, Opportunity: 0.04, Extra Success: 0.02, Strife: 1.18
5k2 TN1: Success: 0.983, Failure: 0.017, Opportunity: 1.20, Extra Success: 0.71, Strife: 0.86
5k2 TN2: Success: 0.887, Failure: 0.113, Opportunity: 0.52, Extra Success: 0.50, Strife: 1.18
5k2 TN3: Success: 0.362, Failure: 0.638, Opportunity: 0.20, Extra Success: 0.14, Strife: 1.18
5k2 TN4: Success: 0.110, Failure: 0.890, Opportunity: 0.05, Extra Success: 0.03, Strife: 1.18
6k2 TN1: Success: 0.993, Failure: 0.007, Opportunity: 1.29, Extra Success: 0.77, Strife: 0.78
6k2 TN2: Success: 0.945, Failure: 0.055, Opportunity: 0.63, Extra Success: 0.61, Strife: 1.19
6k2 TN3: Success: 0.429, Failure: 0.571, Opportunity: 0.26, Extra Success: 0.19, Strife: 1.19
6k2 TN4: Success: 0.140, Failure: 0.860, Opportunity: 0.07, Extra Success: 0.04, Strife: 1.19
7k2 TN1: Success: 0.997, Failure: 0.003, Opportunity: 1.35, Extra Success: 0.84, Strife: 0.73
7k2 TN2: Success: 0.974, Failure: 0.026, Opportunity: 0.70, Extra Success: 0.71, Strife: 1.19
7k2 TN3: Success: 0.484, Failure: 0.516, Opportunity: 0.32, Extra Success: 0.22, Strife: 1.20
7k2 TN4: Success: 0.166, Failure: 0.834, Opportunity: 0.09, Extra Success: 0.05, Strife: 1.19
3k3 TN1: Success: 0.875, Failure: 0.125, Opportunity: 0.77, Extra Success: 0.53, Strife: 1.40
3k3 TN2: Success: 0.562, Failure: 0.438, Opportunity: 0.49, Extra Success: 0.36, Strife: 1.80
3k3 TN3: Success: 0.249, Failure: 0.751, Opportunity: 0.17, Extra Success: 0.11, Strife: 1.80
3k3 TN4: Success: 0.081, Failure: 0.919, Opportunity: 0.05, Extra Success: 0.03, Strife: 1.79
4k3 TN1: Success: 0.949, Failure: 0.051, Opportunity: 1.02, Extra Success: 0.59, Strife: 1.19
4k3 TN2: Success: 0.757, Failure: 0.243, Opportunity: 0.89, Extra Success: 0.54, Strife: 1.75
4k3 TN3: Success: 0.465, Failure: 0.535, Opportunity: 0.34, Extra Success: 0.25, Strife: 1.80
4k3 TN4: Success: 0.179, Failure: 0.821, Opportunity: 0.12, Extra Success: 0.08, Strife: 1.81
5k3 TN1: Success: 0.979, Failure: 0.021, Opportunity: 1.17, Extra Success: 0.65, Strife: 1.04
5k3 TN2: Success: 0.872, Failure: 0.128, Opportunity: 1.18, Extra Success: 0.66, Strife: 1.62
5k3 TN3: Success: 0.655, Failure: 0.345, Opportunity: 0.49, Extra Success: 0.42, Strife: 1.79
5k3 TN4: Success: 0.281, Failure: 0.719, Opportunity: 0.20, Extra Success: 0.13, Strife: 1.79
6k3 TN1: Success: 0.991, Failure: 0.009, Opportunity: 1.27, Extra Success: 0.71, Strife: 0.93
6k3 TN2: Success: 0.937, Failure: 0.063, Opportunity: 1.40, Extra Success: 0.76, Strife: 1.51
6k3 TN3: Success: 0.794, Failure: 0.206, Opportunity: 0.63, Extra Success: 0.57, Strife: 1.79
6k3 TN4: Success: 0.374, Failure: 0.626, Opportunity: 0.29, Extra Success: 0.19, Strife: 1.79
7k3 TN1: Success: 0.996, Failure: 0.004, Opportunity: 1.33, Extra Success: 0.78, Strife: 0.84
7k3 TN2: Success: 0.969, Failure: 0.031, Opportunity: 1.55, Extra Success: 0.87, Strife: 1.45
7k3 TN3: Success: 0.881, Failure: 0.119, Opportunity: 0.76, Extra Success: 0.71, Strife: 1.79
7k3 TN4: Success: 0.458, Failure: 0.542, Opportunity: 0.39, Extra Success: 0.26, Strife: 1.80
8k3 TN1: Success: 0.999, Failure: 0.001, Opportunity: 1.37, Extra Success: 0.86, Strife: 0.79
8k3 TN2: Success: 0.986, Failure: 0.014, Opportunity: 1.66, Extra Success: 0.98, Strife: 1.41
8k3 TN3: Success: 0.935, Failure: 0.065, Opportunity: 0.88, Extra Success: 0.84, Strife: 1.79
8k3 TN4: Success: 0.518, Failure: 0.482, Opportunity: 0.48, Extra Success: 0.32, Strife: 1.80
4k4 TN1: Success: 0.936, Failure: 0.064, Opportunity: 1.35, Extra Success: 1.05, Strife: 2.04
4k4 TN2: Success: 0.731, Failure: 0.270, Opportunity: 0.82, Extra Success: 0.50, Strife: 2.09
4k4 TN3: Success: 0.434, Failure: 0.566, Opportunity: 0.50, Extra Success: 0.30, Strife: 2.40
4k4 TN4: Success: 0.195, Failure: 0.805, Opportunity: 0.19, Extra Success: 0.10, Strife: 2.40
5k4 TN1: Success: 0.974, Failure: 0.026, Opportunity: 1.68, Extra Success: 1.08, Strife: 1.82
5k4 TN2: Success: 0.857, Failure: 0.143, Opportunity: 1.12, Extra Success: 0.62, Strife: 1.92
5k4 TN3: Success: 0.627, Failure: 0.373, Opportunity: 0.89, Extra Success: 0.49, Strife: 2.39
5k4 TN4: Success: 0.369, Failure: 0.631, Opportunity: 0.37, Extra Success: 0.24, Strife: 2.44
6k4 TN1: Success: 0.989, Failure: 0.011, Opportunity: 1.91, Extra Success: 1.08, Strife: 1.59
6k4 TN2: Success: 0.928, Failure: 0.072, Opportunity: 1.34, Extra Success: 0.71, Strife: 1.75
6k4 TN3: Success: 0.774, Failure: 0.226, Opportunity: 1.22, Extra Success: 0.65, Strife: 2.26
6k4 TN4: Success: 0.542, Failure: 0.458, Opportunity: 0.54, Extra Success: 0.41, Strife: 2.40
7k4 TN1: Success: 0.996, Failure: 0.004, Opportunity: 2.07, Extra Success: 1.08, Strife: 1.40
