1k1: Success: 0.55, Opportunity: 0.36, Strife: 0.55
2k1: Success: 0.59, Opportunity: 0.36, Strife: 0.41
3k1: Success: 0.61, Opportunity: 0.36, Strife: 0.36
4k1: Success: 0.61, Opportunity: 0.36, Strife: 0.34
5k1: Success: 0.62, Opportunity: 0.36, Strife: 0.33
6k1: Success: 0.62, Opportunity: 0.36, Strife: 0.32
2k2: Success: 1.09, Opportunity: 0.73, Strife: 1.09
3k2: Success: 1.15, Opportunity: 0.73, Strife: 0.91
4k2: Success: 1.18, Opportunity: 0.73, Strife: 0.82
5k2: Success: 1.20, Opportunity: 0.73, Strife: 0.76
6k2: Success: 1.21, Opportunity: 0.73, Strife: 0.73
7k2: Success: 1.22, Opportunity: 0.73, Strife: 0.70
3k3: Success: 1.64, Opportunity: 1.09, Strife: 1.64
4k3: Success: 1.71, Opportunity: 1.09, Strife: 1.43
5k3: Success: 1.75, Opportunity: 1.09, Strife: 1.31
6k3: Success: 1.77, Opportunity: 1.09, Strife: 1.23
7k3: Success: 1.79, Opportunity: 1.09, Strife: 1.17
8k3: Success: 1.81, Opportunity: 1.09, Strife: 1.13
4k4: Success: 2.19, Opportunity: 1.45, Strife: 2.18
5k4: Success: 2.25, Opportunity: 1.46, Strife: 1.96
6k4: Success: 2.30, Opportunity: 1.45, Strife: 1.82
7k4: Success: 2.34, Opportunity: 1.45, Strife: 1.71
8k4: Success: 2.36, Opportunity: 1.45, Strife: 1.64
9k4: Success: 2.39, Opportunity: 1.45, Strife: 1.58
5k5: Success: 2.73, Opportunity: 1.82, Strife: 2.73
6k5: Success: 2.80, Opportunity: 1.82, Strife: 2.50
7k5: Success: 2.86, Opportunity: 1.82, Strife: 2.34
8k5: Success: 2.90, Opportunity: 1.82, Strife: 2.22
9k5: Success: 2.93, Opportunity: 1.82, Strife: 2.12
10k5: Success: 2.96, Opportunity: 1.82, Strife: 2.05
